Item,Description,Quantity,Unit Price ,Total Price ,URL
fan,120mm 12v fan,1,"9,75","9,75",https://www.aliexpress.com/item/4000561653138.html?spm=a2g0o.detail.0.0.615aOB8JOB8JmY&mp=1
18650 bateries,3.7V 2000mAh,3,"3,99","11,97",https://www.aliexpress.com/item/1005010527501971.html?spm=a2g0o.detail.0.0.471dvEpzvEpz3x&mp=1
carbon activated filter,285 by 175 by 5mm 1 sheet,1,"2,75","2,75",https://www.aliexpress.com/item/1005007749130513.html?spm=a2g0o.detail.0.0.d16bziVIziVIFR&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
AC to DC 12v cable,,1,"4,15","4,15",https://www.aliexpress.com/item/1005006467110035.html?spm=a2g0o.detail.0.0.3ab0jb1ajb1aLF&mp=1
female DC plug,,10,"0,54","5,37",https://www.aliexpress.com/item/1005008777267384.html?spm=a2g0o.detail.0.0.1323fcLKfcLKDq&mp=1
Metal switch,on and off switch,1,"3,44","3,44",https://www.aliexpress.com/item/1005007191830962.html?spm=a2g0o.detail.0.0.1323fcLKfcLKDq&mp=1
bms3s 12v 18650,charger station for bateries,1,"1,52","1,52",https://www.aliexpress.com/item/1005005214348619.html?spm=a2g0o.detail.0.0.7addHNGMHNGMcU&mp=1
AA batery holder,,1,"2,45","2,45",https://www.aliexpress.com/item/4001156346699.html?spm=a2g0o.productlist.main.13.6082192e9eZp5a&algo_pvid=1147ba20-4db1-42da-b183-69ed426022ed&pdp_ext_f=%7B%22order%22%3A%22158%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001156346699%7C_p_origin_prod%3A
m3 45mm scew,,50,,"4,36",https://www.aliexpress.com/item/32969042589.html?spm=a2g0o.productlist.0.0.7a3f4c91DIm752&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
taxes,aliexpress tax,,,"3,25",
,,,Components,"49,01",
